date,weekday,inner_speed1_au,inner_speed2_au,inner_speed3_au,inner_speed4_au,inner_speed5_au,inner_speed6_au,inner_speed7_au,inner_speed8_au,outer_speed_au,inner_speed1_wp,inner_speed2_wp,inner_speed3_wp,inner_speed4_wp,inner_speed5_wp,inner_speed6_wp,inner_speed7_wp,inner_speed8_wp,outer_speed_wp
19.07.2023,3,0.6675625,0.5942,0.6323125,0.66425,0.64328125,0.67163125,0.67163125,0.501225,0.652254762,0.6728,0.65986875,0.62465625,0.7042125,0.63335625,0.68810625,0.68810625,0.63335625,0.635607004
20.07.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.752269387,0.812631034,0.830848674,0.853579708,0.775527089,0.809514457,0.847761337,0.798983523,0.799222179
21.07.2023,5,0.548305,0.568235,0.46184,0.548305,0.54462,0.52167,0.52167,0.38825,0.510347347,0.54485,0.57881,0.58667,0.69369,0.582935,0.67452,0.67452,0.582935,0.527314362
22.07.2023,6,0.68637,0.676035,0.6527,0.6770275,0.667979167,0.656878333,0.656878333,0.513833333,0.684681139,0.66549,0.636686667,0.611318333,0.6815,0.661015833,0.721385833,0.721385833,0.660849167,0.647099397
23.07.2023,7,0.958425455,0.932232727,0.985795455,0.958425455,0.992,0.972096364,0.972096364,0.892948182,0.940778302,0.875661818,0.898653409,0.930087727,1,0.939438636,0.990279167,0.990279167,0.947855909,0.952262016
24.07.2023,1,0.940854167,0.891070833,0.8642375,0.939870833,0.897208333,0.90675,0.90675,0.775154167,0.864136055,0.845966667,0.818466667,0.901595833,0.9379875,0.8701875,0.9747,0.9747,0.869195833,0.873444149
25.07.2023,2,0.8453375,0.795558333,0.821141667,0.844820833,0.843708333,0.86635,0.86635,0.6837625,0.801466922,0.858816667,0.84805,0.782704167,0.907945833,0.836620833,0.915691667,0.915691667,0.836620833,0.821809575
26.07.2023,3,0.579870833,0.570748333,0.566083333,0.586020833,0.643359167,0.582324167,0.578484167,0.418175,0.631887976,0.614490833,0.575210833,0.5592,0.6167825,0.522221667,0.6828375,0.692558333,0.522221667,0.588677926
27.07.2023,4,0.91095,0.8509,0.851391667,0.899904167,0.868408333,0.885041667,0.885041667,0.7361,0.841192942,0.877454167,0.881475,0.9392375,0.944141667,0.873133333,0.955729167,0.955729167,0.873133333,0.860156649
28.07.2023,5,0.877020833,0.869954167,0.846104167,0.874141667,0.918958333,0.889304167,0.889304167,0.767866667,0.85842466,0.886920833,0.9112375,0.840279167,0.980366667,0.891154167,0.9364125,0.9364125,0.8931375,0.875506472
29.07.2023,6,0.922820833,0.934225,0.9296875,0.9150875,0.955279167,0.914758333,0.914758333,0.847058333,0.903226616,0.8842875,0.934179167,0.9229875,0.969958333,0.9318875,0.959820833,0.958520833,0.9318875,0.922690692
30.07.2023,7,0.984375,0.978875,1,0.984375,0.981666667,0.94625,0.94625,0.879566667,0.931105017,0.915475,0.900816667,0.956320833,0.991279167,0.944883333,0.967716667,0.967716667,0.944883333,0.948031649
31.07.2023,1,0.6947875,0.7136,0.7046375,0.6894,0.65615625,0.6525,0.6525,0.58713125,0.660392049,0.65586875,0.683425,0.6859375,0.75,0.64275,0.73214375,0.73214375,0.64275,0.667543706
01.08.2023,2,0.951629167,0.899829167,0.8243,0.943395833,0.9487125,0.900104167,0.900104167,0.823291667,0.890032653,0.9102,0.867408333,0.951320833,0.8846875,0.8697625,0.901983333,0.901983333,0.8697625,0.893234309
02.08.2023,3,0.925981818,0.915690909,0.800486364,0.890831818,0.870845455,0.837786364,0.837786364,0.677531818,0.843232854,0.813052273,0.833508333,0.836136364,0.911195455,0.862784091,0.96515,0.96515,0.862575,0.854497026
03.08.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.752269387,0.812631034,0.830848674,0.853579708,0.775527089,0.809514457,0.847761337,0.798983523,0.799222179
04.08.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.771907408,0.811747842,0.798527854,0.847447532,0.839951734,0.869677211,0.846556517,0.843124278,0.810277332
05.08.2023,6,0.657558333,0.715395833,0.72265,0.657558333,0.684791667,0.551845833,0.551845833,0.50645,0.637333078,0.695079167,0.681991667,0.602291667,0.75,0.675641667,0.7309125,0.7309125,0.675641667,0.670285284
06.08.2023,7,0.960229167,0.974754167,0.990883333,0.956795833,0.993591667,0.956666667,0.956666667,0.8613,0.952640816,0.950979167,0.888291667,0.988333333,0.983529167,0.97805,1,1,0.97805,0.969595124
07.08.2023,1,0.985875,0.916116667,0.9264375,0.9820875,0.934375,0.931879167,0.931879167,0.830445833,0.916747534,0.933008333,0.92795,0.902641667,1,0.9546125,0.954495833,0.962829167,0.9546125,0.933112677
08.08.2023,2,0.967722727,0.898429546,0.883615909,0.968109091,0.940201136,0.915575758,0.915575758,0.811282576,0.908880636,0.903364394,0.908300758,0.893336364,0.970604167,0.941919318,0.91870947,0.91870947,0.941919318,0.919172945
09.08.2023,3,0.9482375,0.877066667,0.912216667,0.939925,0.957266667,0.900415278,0.900415278,0.810890278,0.89548835,0.927016667,0.907716667,0.949629167,0.977156944,0.952627778,0.929504167,0.939426389,0.952627778,0.919638357
10.08.2023,4,0.940175,0.897554167,0.888191667,0.940175,0.935158333,0.924116667,0.924116667,0.8523125,0.895906208,0.8445625,0.910825,0.926733333,0.9777125,0.941325,0.9228,0.9289,0.944195833,0.910095656
11.08.2023,5,0.944375,0.883808333,0.924375,0.9431125,0.930604167,0.91335,0.91335,0.8385625,0.904392602,0.891083333,0.950758333,0.929933333,0.9626,0.966783333,0.981445833,0.970333333,0.966783333,0.92537172
12.08.2023,6,0.9581,0.985508333,0.943616667,0.968029167,0.9760625,0.9695125,0.9695125,0.894441667,0.944779082,0.899508333,0.954216667,1,0.9804125,0.961770833,0.9875,0.9875,0.961770833,0.962073493
13.08.2023,7,0.981521591,1,0.989245833,0.981521591,1,0.996213636,0.996213636,0.921723864,0.968787214,0.970587121,0.96335,0.990909091,0.99225,0.970145833,0.967108712,0.967108712,0.970145833,0.979794318
14.08.2023,1,0.948341667,0.969922222,0.909705556,0.948341667,0.95855,0.956111111,0.956111111,0.883198611,0.930092602,0.891009722,0.954490278,0.932777778,0.941118056,0.960669444,0.972761111,0.972761111,0.960669444,0.945243794
15.08.2023,2,1,0.966945833,0.990591667,1,0.995191667,0.991320833,0.991320833,0.900575,0.960947109,0.936125,0.968875,0.947225,0.9920625,0.991870833,0.978183333,0.978183333,0.991870833,0.980140071
16.08.2023,3,0.978281818,0.914427273,0.929162273,0.978281818,0.935704546,0.958809091,0.958809091,0.857133182,0.919799754,0.852969091,0.947973636,0.931713636,0.975109091,0.953974091,0.973977273,0.973977273,0.953974091,0.941787099
17.08.2023,4,0.965316667,0.939808333,0.908341667,0.964370833,0.94625,0.9276375,0.9276375,0.845875,0.916277296,0.923095833,0.844608333,0.924858333,0.967629167,0.962070833,0.945995833,0.945995833,0.962070833,0.941217642
18.08.2023,5,0.946329167,0.941116667,0.898954167,0.946329167,0.974358333,0.966370833,0.966370833,0.870395833,0.929591582,0.859633333,0.960229167,0.914995833,0.982141667,0.946904167,0.981945833,0.981945833,0.946904167,0.945973936
19.08.2023,6,0.961929167,0.989583333,0.9690875,0.970570833,0.990383333,0.981666667,0.981666667,0.9173375,0.950581633,0.926245833,0.9734875,0.991320833,0.977504167,0.99375,0.985541667,0.985541667,0.99375,0.974133422
20.08.2023,7,0.9724775,0.9825625,1,0.9737075,1,0.993333333,0.993333333,0.958221667,0.965450918,0.948961667,0.917225833,0.99,0.98095,0.9898375,0.973883333,0.973883333,0.9898375,0.974824468
21.08.2023,1,0.869266601,0.842359881,0.840858315,0.825392707,0.854261985,0.844209765,0.837058582,0.781056228,0.830134427,0.810489752,0.839158722,0.858035138,0.880557589,0.857166902,0.891822076,0.888373946,0.860565533,0.844078024
22.08.2023,2,0.886233372,0.844109711,0.841590524,0.82197507,0.837765919,0.874948972,0.870886792,0.773497799,0.833493051,0.819621676,0.847866049,0.85470359,0.895645688,0.840797981,0.886210116,0.892102054,0.867352969,0.846713496
23.08.2023,3,0.65815,0.7358875,0.575310417,0.65815,0.635877083,0.666189583,0.666189583,0.644052083,0.663535884,0.604902083,0.631433333,0.73,0.73958125,0.679883333,0.6346,0.6346,0.679883333,0.678439583
24.08.2023,4,0.69908125,0.683572917,0.63853375,0.70939375,0.7179125,0.68002875,0.68002875,0.631325,0.672093878,0.6018875,0.65019375,0.683435417,0.727675,0.709214583,0.68038125,0.68549375,0.709214583,0.692060771
